xy,z,val
-40.9272 -81.657,0.891029,-1.96226e-05
-40.9272 -81.657,0.861091,4.94268e-05
-40.9272 -81.657,0.831152,1.91422e-05
-40.9272 -81.657,0.801214,7.53161e-05
-40.9272 -81.657,0.771276,2.44824e-05
-40.9272 -81.657,0.741338,2.51361e-05
-40.9272 -81.657,0.7114,-6.71841e-05
-40.9272 -81.657,0.681462,5.2601e-05
-40.9272 -81.657,0.651523,3.83576e-05
-40.9272 -81.657,0.621585,1.87783e-05
-40.9272 -81.657,0.591647,1.69264e-05
-40.9272 -81.657,0.561709,3.3448e-05
-40.9272 -81.657,0.531771,-1.60419e-05
-40.9272 -81.657,0.501833,2.57939e-05
-40.9272 -81.657,0.471894,3.72831e-05
-40.9272 -81.657,0.441956,1.91414e-05
-40.9272 -81.657,0.412018,0.000115909
-40.9272 -81.657,0.38208,2.61051e-05
-40.9272 -81.657,0.352142,-3.2461e-05
-40.9272 -81.657,0.322204,3.54205e-05
-40.9272 -81.657,0.292266,-1.20447e-05
-40.9272 -81.657,0.262327,5.23136e-05
-40.9272 -81.657,0.232389,-1.77609e-05
-40.9272 -81.657,0.202451,5.37498e-05
-40.9272 -81.657,0.172513,-2.01562e-05
-40.9272 -81.657,0.142575,-3.32041e-07
-40.9272 -81.657,0.112637,-2.02598e-05
-40.9272 -81.657,0.0826984,-3.86238e-06
-40.9272 -81.657,0.0527602,5.93543e-05
-40.9272 -81.657,0.0228221,7.32135e-06
-40.9272 -81.657,-0.0071161,-1.94828e-05
-40.9272 -81.657,-0.0370543,-8.99477e-05
-40.9272 -81.657,-0.0669924,-1.01194e-05
-40.9272 -81.657,-0.0969306,5.19281e-05
-40.9272 -81.657,-0.126869,7.57424e-06
-40.9272 -81.657,-0.156807,-3.90973e-05
-40.9272 -81.657,-0.186745,3.06226e-05
-40.9272 -81.657,-0.216683,4.52289e-05
-40.9272 -81.657,-0.246621,7.15021e-06
-40.9272 -81.657,-0.27656,4.42088e-05
-40.9272 -81.657,-0.306498,2.37977e-05
-40.9272 -81.657,-0.336436,5.30781e-05
-40.9272 -81.657,-0.366374,-2.801e-05
-40.9272 -81.657,-0.396312,2.66829e-05
-40.9272 -81.657,-0.42625,-7.88839e-06
-40.9272 -81.657,-0.456188,1.98117e-05
-40.9272 -81.657,-0.620848,7.99738e-06
-40.9272 -81.657,-0.92023,7.22724e-06
-40.9272 -81.657,-1.21961,8.30237e-06
-40.9272 -81.657,-1.51899,-2.77875e-06
-40.9272 -81.657,-1.81837,-1.04728e-05
-42.9761 -81.7173,39.4963,3.43901e-07
-42.9761 -81.7173,39.1969,-4.39819e-06
