time,z
25097334.1593,2334.59
25097334.1731,2268.4
25097334.1871,2216.97
25097334.2288,2056.4
25097334.2944,1870.54
25097334.3278,1859.54
25097334.3552,1913.82
25097334.3753,1970.66
25097334.3919,1982.83
25097334.4068,1994.06
25097334.4222,2079.82
25097334.4476,2038.95
25097334.4677,1998.67
25097334.4857,1954.11
25097334.4983,1934.4
25097334.5088,1943.75
25097334.519,1954.39
25097334.5291,1974.58
25097334.5399,1994.88
25097334.5506,2023.75
25097334.5615,2067.83
25097334.5721,2122.79
25097334.5845,2216.11
25097334.5953,2271.28
25097334.6081,2385.63
25097334.6188,2415.58
25097334.63,2461.39
25097334.6444,2704.25
25097334.654,2750.16
25097334.6633,2745.06
25097334.6729,2740.43
25097334.6821,2726.92
25097334.6913,2705.07
25097334.7001,2714.09
25097334.7107,2703.41
25097334.722,2698.31
25097334.7358,2689.45
25097334.7479,2642.28
25097334.7595,2593.07
25097334.7703,2569.18
25097334.7809,2556.66
25097334.7912,2553.0
25097334.8003,2545.36
25097334.8148,2501.76
25097334.8258,2467.21
25097334.8354,2451.93
25097334.8455,2438.91
25097334.8597,2411.79
25097334.8697,2395.64
25097334.8803,2383.31
25097334.8903,2359.45
25097334.9005,2339.01
25097334.9106,2319.35
25097334.921,2309.58
25097334.9311,2304.27
25097334.9431,2265.4
25097334.958,2210.37
25097334.9906,2100.84
25097335.0354,1985.12
25097335.0513,1973.27
25097335.0632,1969.0
25097335.0753,1982.72
25097335.0872,1995.96
25097335.0984,2038.63
25097335.1143,2174.52
25097335.1275,2206.38
25097335.1496,2105.83
25097335.1688,2046.32
25097335.1826,2049.45
25097335.1998,2066.15
25097335.2159,2116.46
25097335.2262,2121.96
25097335.2373,2131.15
25097335.2489,2140.66
25097335.2603,2132.01
25097335.2709,2121.19
25097335.2822,2108.06
25097335.2933,2069.17
25097335.3096,2063.87
25097335.3332,2014.1
25097335.3474,1997.72
25097335.362,2009.7
25097335.3823,2050.07
25097335.416,1985.81
25097335.4777,1728.97
25097335.5566,1527.33
25097335.6333,1447.34
25097335.7132,1272.97
25097335.7925,1423.72
25097335.8574,1526.91
25097335.8914,1545.75
25097335.9225,1582.95
25097335.9509,1623.01
25097335.9671,1650.53
25097335.9795,1673.67
25097335.9913,1694.51
25097336.004,1746.28
25097336.0166,1768.24
25097336.0289,1827.43
25097336.0472,1979.74
25097336.0617,1977.43
25097336.0733,1977.74
25097336.0868,2002.72
25097336.1044,1989.33
25097336.1178,1969.75
25097336.1283,1976.11
25097336.1386,1989.18
25097336.1506,2050.49
25097336.1612,2070.41
25097336.1768,2221.22
25097336.1872,2245.09
25097336.1993,2317.85
25097336.2102,2370.45
25097336.2196,2382.28
25097336.2302,2384.7
25097336.2443,2302.46
25097336.2777,2125.47
25097336.3389,1774.65
25097336.4152,1528.38
25097336.4868,1457.23
25097336.5516,1479.51
25097336.596,1505.84
25097336.6219,1558.78
25097336.648,1597.15
25097336.6685,1685.55
25097336.6851,1773.28
25097336.6999,1871.71
25097336.7126,1898.64
25097336.7243,1968.81
25097336.7356,2020.6
25097336.7459,2028.55
25097336.7564,2036.61
25097336.7668,2046.05
25097336.7768,2060.12
25097336.7868,2096.18
25097336.7986,2167.68
25097336.8091,2219.35
25097336.8198,2270.37
25097336.8294,2303.97
25097336.8393,2315.55
25097336.8496,2320.35
25097336.8605,2324.74
25097336.8702,2339.9
25097336.8807,2381.98
25097336.8941,2354.61
25097336.9126,2238.06
25097336.9245,2185.47
25097336.9364,2139.96
25097336.9487,2104.45
25097336.9618,2075.52
25097336.976,2038.69
25097336.9872,2039.87
25097336.9988,2034.29
25097337.0104,2028.1
25097337.021,2025.35
25097337.0326,2013.16
25097337.0441,2240.63
25097337.0584,2045.82
25097337.0706,2061.36
25097337.0926,2017.68
25097337.106,2011.23
25097337.1183,1997.09
25097337.1312,1989.47
25097337.145,2065.25
25097337.1565,2091.17
25097337.1684,2109.04
25097337.2168,1877.4
25097337.2653,1731.61
25097337.3316,1546.73
25097337.4104,1255.3
25097337.504,1416.95
25097337.5451,1642.05
25097337.5659,1678.24
25097337.5909,1709.04
25097337.6175,1728.26
25097337.6338,1721.59
25097337.6409,1721.87
25097337.6572,2300.53
25097337.6724,1722.63
25097337.6803,1721.16
25097337.6879,1721.81
25097337.7021,1723.92
25097337.7147,1727.09
25097337.7292,1739.36
25097337.7416,1764.69
25097337.7556,1831.22
25097337.7719,1892.0
25097337.7879,1903.18
25097337.8029,2001.88
25097337.8152,2052.3
25097337.8309,2102.01
25097337.8469,2204.41
25097337.8593,2191.58
25097337.8706,2214.49
25097337.8833,2306.88
25097337.8944,2307.84
25097337.9061,2351.77
25097337.9179,2403.55
25097337.9275,2419.04
25097337.9379,2420.09
25097337.948,2431.78
25097337.9581,2452.18
25097337.9677,2474.42
25097337.9774,2506.67
25097337.9872,2540.54
25097337.9982,2577.33
25097338.0118,2476.15
25097338.022,2482.92
25097338.0317,2478.23
25097338.0418,2477.16
25097338.0522,2467.21
25097338.062,2449.26
25097338.0731,2404.84
25097338.0849,2357.96
25097338.0976,2302.96
25097338.1154,2208.81
25097338.1342,2093.63
25097338.1489,2036.34
25097338.1652,1968.81
25097338.1787,1965.99
25097338.1897,1993.48
25097338.2012,2055.27
25097338.2135,2075.9
25097338.2255,2085.95
25097338.2362,2111.51
25097338.2504,2187.14
25097338.2617,2239.32
25097338.2715,2272.27
25097338.2833,2329.03
25097338.2979,2236.76
25097338.3094,2187.96
25097338.3201,2184.19
25097338.3325,2149.52
25097338.3429,2128.14
25097338.3555,2092.64
25097338.3686,2054.09
25097338.382,2013.43
25097338.3975,1979.33
25097338.4412,1754.02
25097338.4637,1713.62
25097338.4762,1726.45
25097338.4876,1749.6
25097338.4994,1758.08
25097338.5137,1911.66
25097338.525,1954.7
25097338.5396,2078.43
25097338.559,2074.19
25097338.5713,2099.07
25097338.5809,2135.0
